timestamp,voltage,temperature,current,soc
2026-03-31T20:02:09.489870,20258,25,1,85
2026-03-31T20:02:12.072217,20258,25,0,85
2026-03-31T20:02:14.728588,20258,25,1,85
2026-03-31T20:02:17.311328,20258,25,1,85
2026-03-31T20:02:19.968558,20258,25,0,85
2026-03-31T20:02:22.551871,20258,25,0,85
2026-03-31T20:02:25.210692,20257,25,0,85
2026-03-31T20:02:27.796618,20258,25,0,85
2026-03-31T20:02:30.422842,20258,25,0,85
2026-03-31T20:02:33.006102,20257,25,0,85
2026-03-31T20:02:35.664187,20258,25,0,85
2026-03-31T20:02:38.247891,20258,25,1,85
2026-03-31T20:02:40.908972,20258,25,1,85
2026-03-31T20:02:43.493264,20259,25,1,85
2026-03-31T20:02:46.144123,20258,25,0,85
2026-03-31T20:02:48.728019,20257,25,0,85
2026-03-31T20:02:51.378230,20258,25,0,85
2026-03-31T20:02:53.963008,20258,25,0,85
2026-03-31T20:02:56.615123,20259,25,0,85
2026-03-31T20:02:59.200111,20258,25,0,85
2026-03-31T20:03:01.828049,20258,25,0,85
2026-03-31T20:03:04.413666,20258,25,0,85
2026-03-31T20:03:07.052198,20260,25,0,85
2026-03-31T20:03:09.638134,20258,25,0,85
2026-03-31T20:03:12.264155,20260,25,0,85
2026-03-31T20:03:14.850199,20259,25,0,85
2026-03-31T20:03:17.497289,20260,25,0,85
2026-03-31T20:03:20.083396,20260,25,0,85
2026-03-31T20:03:22.723988,20258,25,0,85
2026-03-31T20:03:25.311133,20258,25,0,85
2026-03-31T20:03:27.979006,20259,25,0,85
2026-03-31T20:03:30.566114,20259,25,0,85
2026-03-31T20:03:33.226163,20259,25,0,85
2026-03-31T20:03:35.813278,20259,25,0,85
2026-03-31T20:03:38.469139,20258,25,0,85
2026-03-31T20:03:41.056587,20259,25,0,85
2026-03-31T20:03:43.716626,20260,25,0,85
2026-03-31T20:03:46.305977,20260,25,0,85
2026-03-31T20:03:48.968173,20258,25,1,85
2026-03-31T20:03:51.556014,20259,25,0,85
2026-03-31T20:03:54.215845,20258,25,1,85
2026-03-31T20:03:56.804534,20259,25,1,85
2026-03-31T20:03:59.430759,20260,25,0,85
2026-03-31T20:04:02.020153,20260,25,1,85
2026-03-31T20:04:04.678112,20260,25,1,85
2026-03-31T20:04:07.267521,20259,25,0,85
2026-03-31T20:04:09.909158,20261,25,0,85
2026-03-31T20:04:12.499163,20260,25,0,85
2026-03-31T20:04:15.132254,20258,25,0,85
2026-03-31T20:04:17.722268,20260,25,0,85
2026-03-31T20:04:20.380116,20259,25,0,85
2026-03-31T20:04:22.969782,20260,25,0,85
2026-03-31T20:04:25.626769,20260,25,0,85
2026-03-31T20:04:28.216754,20261,25,0,85
2026-03-31T20:04:30.881273,20260,25,0,85
2026-03-31T20:04:33.472541,20260,25,0,85
2026-03-31T20:04:36.123865,20260,25,0,85
2026-03-31T20:04:38.715022,20260,25,0,85
2026-03-31T20:04:41.370276,20261,25,0,85
2026-03-31T20:04:43.961572,20259,25,0,85
2026-03-31T20:04:46.622610,20260,25,0,85
2026-03-31T20:04:49.214001,20259,25,0,85
2026-03-31T20:04:51.887354,20261,25,0,85
2026-03-31T20:04:54.479437,20261,25,0,85
2026-03-31T20:04:57.143840,20261,25,0,85
2026-03-31T20:04:59.735778,20260,25,0,85
2026-03-31T20:05:02.387121,20260,25,0,85
2026-03-31T20:05:04.979698,20259,25,0,85
2026-03-31T20:05:07.628514,20261,25,0,85
2026-03-31T20:05:10.221077,20260,25,0,85
2026-03-31T20:05:12.885571,20260,25,0,85
2026-03-31T20:05:15.478713,20259,25,0,85
2026-03-31T20:05:18.135446,20261,25,0,85
2026-03-31T20:05:20.728675,20261,25,0,85
2026-03-31T20:05:23.360313,20261,25,0,85
2026-03-31T20:05:25.954083,20261,25,0,85
2026-03-31T20:05:28.622601,20260,25,0,85
2026-03-31T20:05:31.217014,20261,25,0,85
2026-03-31T20:05:33.886912,20261,25,0,85
2026-03-31T20:05:36.481561,20260,25,0,85
2026-03-31T20:05:39.131542,20261,25,0,85
2026-03-31T20:05:41.727021,20261,25,0,85
2026-03-31T20:05:44.387826,20260,25,0,85
2026-03-31T20:05:46.983453,20261,25,0,85
2026-03-31T20:05:49.638060,20261,25,0,85
2026-03-31T20:05:52.233617,20261,25,0,85
2026-03-31T20:05:54.907768,20261,25,0,85
2026-03-31T20:05:57.504582,20261,25,0,85
2026-03-31T20:06:00.171547,20262,25,0,85
2026-03-31T20:06:02.769810,20260,25,1,85
2026-03-31T20:06:05.426748,20260,25,1,85
2026-03-31T20:06:08.023572,20261,25,1,85
2026-03-31T20:06:10.706500,20261,25,1,85
2026-03-31T20:06:13.305208,20261,25,0,85
2026-03-31T20:06:15.948767,20261,25,0,85
2026-03-31T20:06:18.546709,20260,25,1,85
2026-03-31T20:06:21.218585,20262,25,0,85
2026-03-31T20:06:23.817251,20261,25,1,85
2026-03-31T20:06:26.482093,20262,25,1,85
2026-03-31T20:06:29.081024,20261,25,0,85
2026-03-31T20:06:31.740749,20261,25,0,85
2026-03-31T20:06:34.341093,20261,25,0,85
2026-03-31T20:06:37.015768,20261,25,0,85
2026-03-31T20:06:39.615868,20261,25,0,85
2026-03-31T20:06:42.290477,20261,25,0,85
2026-03-31T20:06:44.890749,20261,25,0,85
2026-03-31T20:06:47.537460,20260,25,0,85
2026-03-31T20:06:50.137025,20261,25,0,85
2026-03-31T20:06:52.809344,20261,25,0,85
2026-03-31T20:06:55.410260,20261,25,0,85
2026-03-31T20:06:58.089178,20260,25,0,85
2026-03-31T20:07:00.690429,20261,25,0,85
2026-03-31T20:07:03.363252,20261,25,0,85
2026-03-31T20:07:05.963724,20261,25,0,85
2026-03-31T20:07:08.641421,20261,25,0,85
2026-03-31T20:07:11.243824,20261,25,0,85
2026-03-31T20:07:13.917504,20260,25,0,85
2026-03-31T20:07:16.519122,20261,25,1,85
2026-03-31T20:07:19.192638,20260,25,0,85
2026-03-31T20:07:21.794407,20260,25,0,85
2026-03-31T20:07:24.440221,20261,25,0,85
2026-03-31T20:07:27.042785,20262,25,0,85
2026-03-31T20:07:29.720855,20261,25,0,85
2026-03-31T20:07:32.324965,20261,25,0,85
2026-03-31T20:07:35.005019,20261,25,0,85
2026-03-31T20:07:37.608105,20261,25,0,85
2026-03-31T20:07:40.254581,20260,25,0,85
2026-03-31T20:07:42.858547,20261,25,0,85
2026-03-31T20:07:45.539775,20261,25,0,85
2026-03-31T20:07:48.145832,20261,25,0,85
2026-03-31T20:07:50.825003,20262,25,0,85
2026-03-31T20:07:53.429181,20261,25,0,85
2026-03-31T20:07:56.108841,20261,25,0,85
2026-03-31T20:07:58.716509,20261,25,0,85
2026-03-31T20:08:01.389840,20261,25,0,85
2026-03-31T20:08:03.996523,20261,25,0,85
2026-03-31T20:08:06.652904,20261,25,0,85
2026-03-31T20:08:09.258153,20260,25,1,85
2026-03-31T20:08:11.935763,20261,25,0,85
2026-03-31T20:08:14.541713,20261,25,0,85
2026-03-31T20:08:17.220496,20261,25,1,85
2026-03-31T20:08:19.827297,20261,25,0,85
2026-03-31T20:08:22.498453,20262,25,0,85
2026-03-31T20:08:25.105265,20262,25,0,85
2026-03-31T20:08:27.781842,20262,25,0,85
2026-03-31T20:08:30.389410,20262,25,0,85
2026-03-31T20:08:33.050409,20260,25,0,85
2026-03-31T20:08:35.657093,20261,25,0,85
2026-03-31T20:08:38.340555,20260,25,0,85
2026-03-31T20:08:40.947374,20261,25,0,85
2026-03-31T20:08:43.626963,20261,25,0,85
2026-03-31T20:08:46.236324,20261,25,0,85
2026-03-31T20:08:48.920234,20261,25,0,85
