timestamp,voltage,temperature,current,soc,dt_seconds,runtime_left_minutes,abs_current,power,voltage_lag1,current_lag1,temperature_lag1,avg_voltage_5,avg_current_5,avg_temp_5,d_voltage,d_current,d_temperature
53:58.2,20192,25,0,85,2.551406,,0,0,20189,0,25,20185.4,0,25,3,0,0
54:00.8,20194,25,0,85,2.611969,,0,0,20192,0,25,20188.6,0,25,2,0,0
54:03.4,20197,25,0,85,2.551834,,0,0,20194,0,25,20191.4,0,25,3,0,0
54:06.0,20199,25,0,85,2.612887,,0,0,20197,0,25,20194.2,0,25,2,0,0
54:08.5,20202,25,0,85,2.551895,,0,0,20199,0,25,20196.8,0,25,3,0,0
54:11.1,20204,25,0,85,2.622508,,0,0,20202,0,25,20199.2,0,25,2,0,0
54:13.7,20206,25,0,85,2.552377,,0,0,20204,0,25,20201.6,0,25,2,0,0
54:16.3,20207,25,0,85,2.608272,,0,0,20206,0,25,20203.6,0,25,1,0,0
54:18.9,20209,25,0,85,2.552437,,0,0,20207,0,25,20205.6,0,25,2,0,0
54:21.5,20211,25,0,85,2.619605,,0,0,20209,0,25,20207.4,0,25,2,0,0
54:24.0,20212,25,0,85,2.557247,,0,0,20211,0,25,20209,0,25,1,0,0
54:26.7,20214,25,0,85,2.634263,,0,0,20212,0,25,20210.6,0,25,2,0,0
54:29.2,20214,25,0,85,2.552747,,0,0,20214,0,25,20212,0,25,0,0,0
54:31.8,20217,25,0,85,2.612126,,0,0,20214,0,25,20213.6,0,25,3,0,0
54:34.4,20218,25,0,85,2.553955,,0,0,20217,0,25,20215,0,25,1,0,0
54:37.0,20219,25,0,85,2.622502,,0,0,20218,0,25,20216.4,0,25,1,0,0
54:39.6,20219,25,0,85,2.553872,,0,0,20219,0,25,20217.4,0,25,0,0,0
54:42.2,20220,25,0,85,2.618897,,0,0,20219,0,25,20218.6,0,25,1,0,0
54:44.7,20222,25,0,85,2.55495,,0,0,20220,0,25,20219.6,0,25,2,0,0
54:47.4,20223,25,0,85,2.617378,,0,0,20222,0,25,20220.6,0,25,1,0,0
54:49.9,20223,25,0,85,2.554486,,0,0,20223,0,25,20221.4,0,25,0,0,0
54:52.5,20225,25,0,85,2.607282,,0,0,20223,0,25,20222.6,0,25,2,0,0
54:55.1,20226,25,1,85,2.554708,854249,1,20226,20225,0,25,20223.8,0.2,25,1,1,0
54:57.7,20227,25,0,85,2.623667,,0,0,20226,1,25,20224.8,0.2,25,1,-1,0
55:00.3,20228,25,0,85,2.555435,,0,0,20227,0,25,20225.8,0.2,25,1,0,0
55:02.9,20228,25,0,85,2.606657,,0,0,20228,0,25,20226.8,0.2,25,0,0,0
55:05.4,20230,25,0,85,2.555405,,0,0,20228,0,25,20227.8,0.2,25,2,0,0
55:08.0,20230,25,0,85,2.629004,,0,0,20230,0,25,20228.6,0,25,0,0,0
55:10.6,20231,25,0,85,2.555909,,0,0,20230,0,25,20229.4,0,25,1,0,0
55:13.2,20233,25,0,85,2.599198,,0,0,20231,0,25,20230.4,0,25,2,0,0
55:15.8,20234,25,0,85,2.55609,,0,0,20233,0,25,20231.6,0,25,1,0,0
55:18.4,20234,25,0,85,2.624146,,0,0,20234,0,25,20232.4,0,25,0,0,0
55:20.9,20234,25,0,85,2.556651,,0,0,20234,0,25,20233.2,0,25,0,0,0
55:23.6,20234,25,0,85,2.616664,,0,0,20234,0,25,20233.8,0,25,0,0,0
55:26.1,20235,25,0,85,2.556314,,0,0,20234,0,25,20234.2,0,25,1,0,0
55:28.7,20236,25,0,85,2.628731,,0,0,20235,0,25,20234.6,0,25,1,0,0
55:31.3,20236,25,0,85,2.557842,,0,0,20236,0,25,20235,0,25,0,0,0
55:33.9,20236,25,0,85,2.602819,,0,0,20236,0,25,20235.4,0,25,0,0,0
55:36.5,20237,25,0,85,2.558589,,0,0,20236,0,25,20236,0,25,1,0,0
55:39.1,20237,25,0,85,2.628861,,0,0,20237,0,25,20236.4,0,25,0,0,0
55:41.6,20238,25,0,85,2.557886,,0,0,20237,0,25,20236.8,0,25,1,0,0
55:44.3,20238,25,0,85,2.618231,,0,0,20238,0,25,20237.2,0,25,0,0,0
55:46.8,20239,25,0,85,2.558125,,0,0,20238,0,25,20237.8,0,25,1,0,0
55:49.4,20239,25,0,85,2.61273,,0,0,20239,0,25,20238.2,0,25,0,0,0
55:52.0,20240,25,0,85,2.558622,,0,0,20239,0,25,20238.8,0,25,1,0,0
55:54.6,20240,25,0,85,2.630076,,0,0,20240,0,25,20239.2,0,25,0,0,0
55:57.2,20240,25,0,85,2.558766,,0,0,20240,0,25,20239.6,0,25,0,0,0
55:59.8,20240,25,0,85,2.631837,,0,0,20240,0,25,20239.8,0,25,0,0,0
56:02.4,20240,25,0,85,2.558937,,0,0,20240,0,25,20240,0,25,0,0,0
56:05.0,20241,25,0,85,2.621222,,0,0,20240,0,25,20240.2,0,25,1,0,0
56:07.6,20242,25,0,85,2.5597,,0,0,20241,0,25,20240.6,0,25,1,0,0
56:10.2,20242,25,0,85,2.629831,,0,0,20242,0,25,20241,0,25,0,0,0
56:12.7,20243,25,0,85,2.559423,,0,0,20242,0,25,20241.6,0,25,1,0,0
56:15.4,20243,25,0,85,2.622104,,0,0,20243,0,25,20242.2,0,25,0,0,0
56:17.9,20243,25,0,85,2.560034,,0,0,20243,0,25,20242.6,0,25,0,0,0
56:20.5,20243,25,0,85,2.615395,,0,0,20243,0,25,20242.8,0,25,0,0,0
56:23.1,20244,25,0,85,2.564055,,0,0,20243,0,25,20243.2,0,25,1,0,0
56:25.7,20245,25,0,85,2.617427,,0,0,20244,0,25,20243.6,0,25,1,0,0
